action_rank,priority_rank,management_priority,product_id,product_name,category,demand_class,risk_score,risk_class,confidence_score,confidence_class,business_impact_score,business_impact_class,primary_risk_driver,primary_risk_driver_score,anomaly_severity_score,max_anomaly_deviation,max_anomaly_z,forecast_change_pct,wape,inventory_risk_score,stockout_risk,service_risk,supplier_risk,volatility_risk,excess_inventory_risk,inventory_days,fill_rate,estimated_financial_exposure,at_risk_value,lost_sales_exposure,supplier_delay_exposure,inventory_obsolescence_exposure,optimization_opportunity,compound_risk_count,compound_risk_score,recommended_action
296,4,P4 - Routine,P01012,CarryPro Mobile Accessories 01012,Accessories,Volatile,10.05,Low,88.0,High,50.05,Medium,Forecast Accuracy,40.0,0,0.0445,0.1945,0.0,25.4994,5.16,0.5647,0.0,20.8333,12.4507,0.0,18.7092,0.9985,774546.045,24088.382,238321.86,536224.185,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
297,4,P4 - Routine,P01529,CarryPro Chargers 01529,Accessories,Volatile,10.03,Low,88.0,High,74.17,High,Forecast Accuracy,40.0,0,0.2308,0.4998,0.0,23.791,4.89,0.9268,0.0,18.75,12.0256,0.0,18.3129,0.9962,2170848.0627,66645.0355,1110530.64,1060317.4227,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
298,4,P4 - Routine,P01438,PaperWorks Desk Accessories 01438,Office Supplies,Trending,10.02,Low,88.0,High,27.04,Low,Supplier,23.96,0,0.2148,1.7727,0.0,10.652,6.02,3.6994,0.0,23.9583,8.7437,0.0,16.7205,0.9822,453204.65,14185.3055,382985.42,70219.23,0.0,21510.55,0,0.0,Monitor supplier performance and lead-time stability
299,4,P4 - Routine,P01795,NovaTech Audio 01795,Electronics,Volatile,10.0,Low,88.0,High,67.31,High,Forecast Accuracy,40.0,0,0.0241,0.3565,0.0,24.8283,5.87,4.9449,0.0,15.8333,13.4251,0.0,19.404,0.9752,2923632.8637,89463.1656,2532482.5,391150.3637,0.0,1132.53,0,0.0,Monitor forecast accuracy and review model error drivers
300,4,P4 - Routine,P01085,CarryPro Mobile Accessories 01085,Accessories,Volatile,9.98,Low,88.0,High,33.72,Low,Forecast Accuracy,40.0,0,0.0837,0.5818,0.0,20.4297,4.86,0.721,0.0,18.9583,12.0317,0.0,19.2451,0.9969,428617.8654,13330.0156,194784.8,233833.0654,0.0,1113.29,0,0.0,Monitor forecast accuracy and review model error drivers
301,4,P4 - Routine,P01033,Apex Audio 01033,Electronics,Volatile,9.97,Low,88.0,High,25.94,Low,Forecast Accuracy,40.0,0,0.1765,0.4336,0.0,22.9405,5.17,1.5229,0.0,18.75,12.6511,0.0,18.3796,0.993,339201.648,10549.1713,199062.0,140139.648,0.0,792.52,0,0.0,Monitor forecast accuracy and review model error drivers
302,4,P4 - Routine,P00273,UrbanGear Chargers 00273,Accessories,Volatile,9.95,Low,88.0,High,95.33,Very High,Forecast Accuracy,40.0,0,0.1628,0.5768,0.0,22.5513,4.7,0.888,0.0,17.9167,11.6171,0.0,19.265,0.9966,6791932.9019,203757.9871,2943533.38,3848399.5219,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
303,4,P4 - Routine,P01082,Vertex Smartphones 01082,Electronics,Volatile,9.94,Low,88.0,High,84.15,Very High,Forecast Accuracy,40.0,0,0.0235,0.0723,0.0,24.7418,5.63,3.0362,0.0,18.125,13.3421,0.0,19.172,0.9861,5081870.2465,153472.4814,3561634.8,1520235.4465,0.0,3065.66,0,0.0,Monitor forecast accuracy and review model error drivers
304,4,P4 - Routine,P00608,ComfortMax Washing Machines 00608,Home Appliances,Volatile,9.93,Low,88.0,High,78.46,High,Forecast Accuracy,40.0,0,0.047,0.3051,0.0,20.5211,5.13,1.5439,0.0,18.3333,12.7735,0.0,18.2777,0.9942,2881176.128,87011.5191,1642944.0,1238232.128,0.0,399.41,0,0.0,Monitor forecast accuracy and review model error drivers
305,4,P4 - Routine,P01429,Glow Grooming 01429,Personal Care,Seasonal,9.9,Low,88.0,High,8.37,Low,Supplier,27.29,0,0.0143,1.1081,0.0,11.5059,6.29,2.5013,0.0,27.2917,9.6633,0.0,16.8106,0.9901,77053.434,2388.6565,61123.2,15930.234,0.0,0.0,0,0.0,Monitor supplier performance and lead-time stability
306,4,P4 - Routine,P00493,Arctic Refrigerators 00493,Home Appliances,Volatile,9.88,Low,88.0,High,97.41,Very High,Forecast Accuracy,40.0,0,0.0538,0.2409,0.0,20.676,5.14,1.835,0.0,18.125,12.4964,0.0,19.335,0.9912,10143725.328,301268.6422,6273293.4,3870431.928,0.0,287.41,0,0.0,Monitor forecast accuracy and review model error drivers
307,4,P4 - Routine,P00469,Vertex Smartphones 00469,Electronics,Volatile,9.88,Low,88.0,High,89.36,Very High,Forecast Accuracy,40.0,0,0.3413,1.1482,0.0,23.7837,4.57,2.4828,0.0,12.5,12.9695,0.0,19.668,0.9875,6273932.3024,186963.1826,4383310.68,1890621.6224,0.0,44.16,0,0.0,Monitor forecast accuracy and review model error drivers
308,4,P4 - Routine,P00443,Arctic Refrigerators 00443,Home Appliances,Seasonal,9.87,Low,88.0,High,74.67,High,Supplier,26.88,0,0.1003,0.554,0.0,11.885,6.94,4.1213,0.0,26.875,11.1432,0.0,17.1907,0.9807,3691284.8549,110738.5456,3091982.67,599302.1849,0.0,2045.47,0,0.0,Monitor supplier performance and lead-time stability
309,4,P4 - Routine,P00777,Zenith Audio 00777,Electronics,Seasonal,9.84,Low,88.0,High,50.91,Medium,Forecast Accuracy,40.0,0,0.1507,0.7857,0.0,20.1079,4.65,1.3367,0.0,16.6667,11.6499,0.0,18.7279,0.9949,989467.4262,29881.9163,577369.76,412097.6662,0.0,213.3,0,0.0,Monitor forecast accuracy and review model error drivers
310,4,P4 - Routine,P00339,Glow Haircare 00339,Personal Care,Seasonal,9.84,Low,100.0,High,8.54,Low,Demand Anomaly,28.23,1,0.2076,2.1327,0.0,11.2211,2.16,0.1687,0.0,4.1667,9.9207,0.0,18.7457,0.9997,29898.756,917.8918,5781.6,24117.156,0.0,0.0,0,0.0,Investigate demand anomaly and increase short-term demand monitoring
311,4,P4 - Routine,P01233,NovaTech Smartphones 01233,Electronics,Volatile,9.83,Low,88.0,High,98.81,Very High,Forecast Accuracy,40.0,0,0.3476,1.4373,0.0,24.8897,4.29,2.465,0.0,10.4167,13.2612,0.0,19.0856,0.9877,15636793.4055,461285.4055,10088253.81,5548539.5955,0.0,572.75,0,0.0,Monitor forecast accuracy and review model error drivers
312,4,P4 - Routine,P01290,NovaTech Smartphones 01290,Electronics,Volatile,9.83,Low,88.0,High,96.86,Very High,Forecast Accuracy,40.0,0,0.2013,0.1831,0.0,25.7885,5.37,2.7683,0.0,16.6667,13.594,0.0,19.9046,0.9874,10738126.62,316774.7353,7432795.0,3305331.62,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
313,4,P4 - Routine,P00318,Apex Laptops 00318,Electronics,Volatile,9.83,Low,88.0,High,56.73,Medium,Forecast Accuracy,40.0,0,0.1142,0.1285,0.0,25.4044,5.22,1.502,0.0,19.1667,12.6568,0.0,18.9628,0.9932,1388331.1204,41649.9336,787102.11,601229.0104,0.0,655.36,0,0.0,Monitor forecast accuracy and review model error drivers
314,4,P4 - Routine,P01224,ConnectX Chargers 01224,Accessories,Volatile,9.83,Low,88.0,High,54.55,Medium,Forecast Accuracy,40.0,0,0.2276,0.6884,0.0,21.8944,4.64,0.9679,0.0,17.2917,11.6957,0.0,19.4585,0.9958,1158962.2058,34884.7624,588088.48,570873.7258,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
315,4,P4 - Routine,P00103,HomePro Refrigerators 00103,Home Appliances,Volatile,9.8,Low,88.0,High,45.72,Medium,Forecast Accuracy,40.0,0,0.1111,0.3372,0.0,20.5057,5.38,3.0278,0.0,16.875,12.921,0.0,18.735,0.9848,1073385.252,32201.5576,849817.8,223567.452,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
316,4,P4 - Routine,P00838,Arctic Air Conditioners 00838,Home Appliances,Volatile,9.79,Low,88.0,High,64.14,High,Supplier,22.29,0,0.2176,1.3128,0.0,17.2049,6.25,3.7804,0.0,22.2917,11.8142,0.0,19.3818,0.98,2477961.2386,73595.4488,2089939.8,388021.4386,0.0,502.06,0,0.0,Monitor supplier performance and lead-time stability
317,4,P4 - Routine,P00229,UrbanGear Mobile Accessories 00229,Accessories,Volatile,9.78,Low,88.0,High,98.45,Very High,Forecast Accuracy,40.0,0,0.096,0.0718,0.0,20.4689,5.14,1.7554,0.0,19.1667,11.6042,0.0,18.9828,0.992,11454287.34,334465.1903,7934646.0,3519641.34,0.0,698.71,0,0.0,Monitor forecast accuracy and review model error drivers
318,4,P4 - Routine,P00715,EverHome Washing Machines 00715,Home Appliances,Volatile,9.78,Low,88.0,High,44.82,Medium,Forecast Accuracy,40.0,0,0.0769,0.1686,0.0,20.1952,6.33,7.2978,0.0,15.4167,12.2131,0.0,18.6544,0.964,1329698.6773,39890.9603,1139704.72,189993.9573,0.0,380.78,0,0.0,Monitor forecast accuracy and review model error drivers
319,4,P4 - Routine,P00989,Vertex TVs 00989,Electronics,Volatile,9.77,Low,88.0,High,76.79,High,Forecast Accuracy,40.0,0,0.104,0.7179,0.0,29.1364,5.14,3.5953,0.0,12.9167,14.1708,0.0,18.5793,0.9832,3801979.1866,112158.386,3061607.92,740371.2666,0.0,853.72,0,0.0,Monitor forecast accuracy and review model error drivers
320,4,P4 - Routine,P00030,Vertex Laptops 00030,Electronics,Volatile,9.77,Low,88.0,High,77.53,High,Forecast Accuracy,40.0,0,0.5909,1.5417,0.0,25.0735,4.1,1.9356,0.0,9.7917,13.7018,0.0,19.4865,0.9902,3239934.472,95578.0669,2053796.6,1186137.872,0.0,619.32,0,0.0,Monitor forecast accuracy and review model error drivers
321,4,P4 - Routine,P01761,DermaX Oral Care 01761,Personal Care,Trending,9.77,Low,100.0,High,4.82,Low,Demand Anomaly,29.06,1,0.2444,2.2965,0.0,11.5436,1.97,0.4319,0.0,4.1667,8.0957,0.0,18.3549,0.9984,32125.681,979.8333,10188.85,21936.831,0.0,0.0,0,0.0,Investigate demand anomaly and increase short-term demand monitoring
322,4,P4 - Routine,P01428,TechMate Mobile Accessories 01428,Accessories,Volatile,9.75,Low,88.0,High,76.32,High,Forecast Accuracy,40.0,0,0.3363,1.2898,0.0,21.1348,4.22,1.7944,0.0,12.5,12.0349,0.0,19.5881,0.9916,2991775.4453,87958.1981,2115291.98,876483.4653,0.0,10079.28,0,0.0,Monitor forecast accuracy and review model error drivers
323,4,P4 - Routine,P01308,CarryPro Cables 01308,Accessories,Volatile,9.75,Low,88.0,High,64.35,High,Forecast Accuracy,40.0,0,0.0212,0.035,0.0,20.8544,5.18,1.5102,0.0,20.0,11.5115,0.0,18.8739,0.9931,1869015.9805,55322.873,1190428.05,678587.9305,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
324,4,P4 - Routine,P00061,Arctic Washing Machines 00061,Home Appliances,Volatile,9.73,Low,88.0,High,95.49,Very High,Forecast Accuracy,40.0,0,0.2551,1.1723,0.0,20.6983,4.21,1.4367,0.0,12.5,12.6697,0.0,19.7182,0.9939,7740945.366,225261.5102,4018660.8,3722284.566,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
325,4,P4 - Routine,P00769,Arctic Microwaves 00769,Home Appliances,Seasonal,9.71,Low,88.0,High,80.18,Very High,Supplier,25.63,0,0.1938,0.53,0.0,11.8742,6.93,4.6197,0.0,25.625,11.3066,0.0,17.476,0.9771,4979199.8741,145392.6363,4505880.65,473319.2241,0.0,1704.27,0,0.0,Monitor supplier performance and lead-time stability
326,4,P4 - Routine,P00897,HomePro Refrigerators 00897,Home Appliances,Volatile,9.71,Low,88.0,High,70.64,High,Forecast Accuracy,40.0,0,0.2222,1.3008,0.0,20.4275,4.6,3.6159,0.0,10.2083,13.2495,0.0,19.1904,0.983,3059748.2388,89650.6234,2322545.1,737203.1388,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
327,4,P4 - Routine,P00381,Apex Laptops 00381,Electronics,Seasonal,9.71,Low,88.0,High,48.44,Medium,Forecast Accuracy,40.0,0,0.0588,0.25,0.0,20.5618,5.15,2.0838,0.0,18.125,12.0255,0.0,17.2535,0.9901,1044648.042,30921.582,762781.95,281866.092,0.0,361.46,0,0.0,Monitor forecast accuracy and review model error drivers
328,4,P4 - Routine,P01394,Glow Skincare 01394,Personal Care,Seasonal,9.71,Low,88.0,High,29.19,Low,Supplier,29.58,0,0.0564,0.1927,0.0,10.8073,7.14,4.0387,0.0,29.5833,9.9508,0.0,17.5527,0.9802,518809.4194,15460.5207,421110.32,97699.0994,0.0,16284.41,0,0.0,Monitor supplier performance and lead-time stability
329,4,P4 - Routine,P01254,NovaTech Smartphones 01254,Electronics,Volatile,9.69,Low,88.0,High,59.13,Medium,Forecast Accuracy,40.0,0,0.1295,1.2767,0.0,22.3398,4.65,3.6395,0.0,10.4167,13.3222,0.0,19.1637,0.9828,1923043.581,56537.4813,1494945.54,428098.041,0.0,533.95,0,0.0,Monitor forecast accuracy and review model error drivers
330,4,P4 - Routine,P00100,Apex Laptops 00100,Electronics,Volatile,9.69,Low,88.0,High,25.43,Low,Forecast Accuracy,40.0,0,0.0566,0.1071,0.0,27.4682,5.26,1.5771,0.0,18.3333,13.5643,0.0,18.8559,0.9924,311300.5526,9276.7565,218925.96,92374.5926,0.0,223.29,0,0.0,Monitor forecast accuracy and review model error drivers
331,4,P4 - Routine,P01129,HomePro Refrigerators 01129,Home Appliances,Volatile,9.68,Low,88.0,High,55.03,Medium,Supplier,25.83,0,0.3184,0.9154,0.0,18.5923,5.93,0.9472,0.0,25.8333,11.8085,0.0,18.4912,0.9974,1049884.4794,30866.6037,387321.92,662562.5594,0.0,0.0,0,0.0,Monitor supplier performance and lead-time stability
332,4,P4 - Routine,P01654,EverHome Microwaves 01654,Home Appliances,Volatile,9.66,Low,88.0,High,63.65,High,Supplier,25.63,0,0.1329,0.554,0.0,18.3215,6.69,3.3292,0.0,25.625,12.296,0.0,18.6398,0.9831,2343309.6192,68190.3099,1782570.24,560739.3792,0.0,658.34,0,0.0,Monitor supplier performance and lead-time stability
333,4,P4 - Routine,P01114,DermaX Haircare 01114,Personal Care,Trending,9.66,Low,88.0,High,29.16,Low,Supplier,31.88,0,0.0281,0.0564,0.0,10.9185,6.97,3.154,0.0,31.875,8.3109,0.0,17.4434,0.9863,470173.3339,13917.1307,408193.7,61979.6339,0.0,1876.63,0,0.0,Monitor supplier performance and lead-time stability
334,4,P4 - Routine,P00593,NovaTech Laptops 00593,Electronics,Volatile,9.61,Low,88.0,High,95.68,Very High,Forecast Accuracy,40.0,0,0.4253,0.978,0.0,23.6168,4.33,1.7504,0.0,12.5,12.8661,0.0,20.0837,0.9921,7439963.935,212038.9721,5521094.15,1918869.785,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
335,4,P4 - Routine,P00027,Apex Smartphones 00027,Electronics,Trending,9.61,Low,88.0,High,86.67,Very High,Supplier,27.5,0,0.04,0.3372,0.0,16.5989,6.77,3.7436,0.0,27.5,10.1148,0.0,16.7876,0.9804,6905278.8424,197490.9749,6112501.6,792777.2424,0.0,173.8,0,0.0,Monitor supplier performance and lead-time stability
336,4,P4 - Routine,P01256,Arctic Air Conditioners 01256,Home Appliances,Volatile,9.61,Low,88.0,High,56.37,Medium,Forecast Accuracy,40.0,0,0.3086,1.2044,0.0,23.5175,4.23,1.6374,0.0,11.875,13.068,0.0,18.8975,0.9918,1407571.0982,40960.319,947768.15,459802.9482,0.0,234.95,0,0.0,Monitor forecast accuracy and review model error drivers
337,4,P4 - Routine,P00208,DeskMate Writing 00208,Office Supplies,Trending,9.6,Low,88.0,High,45.94,Medium,Supplier,20.83,0,0.2475,1.9654,0.0,11.0512,5.34,3.0166,0.0,20.8333,8.7588,0.0,18.3243,0.9863,1079130.229,31402.6897,942616.44,136513.789,0.0,0.0,0,0.0,Monitor supplier performance and lead-time stability
338,4,P4 - Routine,P00537,UrbanGear Mobile Accessories 00537,Accessories,Volatile,9.58,Low,88.0,High,68.87,High,Forecast Accuracy,40.0,0,0.0731,0.7615,0.0,21.9905,4.26,0.3895,0.0,15.2083,12.436,0.0,19.2159,0.9988,1524401.0362,43750.3097,374974.09,1149426.9462,0.0,1410.2,0,0.0,Monitor forecast accuracy and review model error drivers
339,4,P4 - Routine,P00111,Arctic Washing Machines 00111,Home Appliances,Seasonal,9.55,Low,88.0,High,85.7,Very High,Supplier,24.17,0,0.0971,0.6986,0.0,12.866,6.55,4.0251,0.0,24.1667,11.4556,0.0,17.523,0.9817,5967882.063,169487.8506,4950605.25,1017276.813,0.0,1492.48,0,0.0,Monitor supplier performance and lead-time stability
340,4,P4 - Routine,P01389,CarryPro Mobile Accessories 01389,Accessories,Volatile,9.55,Low,88.0,High,50.07,Medium,Forecast Accuracy,40.0,0,0.1622,0.4129,0.0,22.5469,4.88,2.0267,0.0,16.4583,12.0105,0.0,18.9653,0.9907,1199468.8672,34664.6503,802808.28,396660.5872,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
341,4,P4 - Routine,P01554,CarryPro Cables 01554,Accessories,Trending,9.54,Low,88.0,High,67.38,High,Supplier,21.25,0,0.2996,1.7725,0.0,13.6925,5.18,1.6504,0.0,21.25,9.9517,0.0,18.0532,0.9917,2103734.3658,60166.8029,1715733.2,388001.1658,0.0,21.78,0,0.0,Monitor supplier performance and lead-time stability
342,4,P4 - Routine,P00857,NovaTech Smartphones 00857,Electronics,Volatile,9.54,Low,88.0,High,46.22,Medium,Forecast Accuracy,40.0,0,0.7949,1.4935,0.0,28.3054,4.05,1.7299,0.0,8.3333,15.2246,0.0,20.4593,0.9909,946635.0462,27357.7528,610553.24,336081.8062,0.0,352.45,0,0.0,Monitor forecast accuracy and review model error drivers
343,4,P4 - Routine,P01997,ConnectX Cables 01997,Accessories,Volatile,9.52,Low,88.0,High,95.11,Very High,Forecast Accuracy,40.0,0,0.0555,0.231,0.0,23.7444,4.86,1.8343,0.0,16.6667,12.0875,0.0,19.642,0.9926,8164062.8784,229410.1669,5012810.0,3151252.8784,0.0,19102.07,0,0.0,Monitor forecast accuracy and review model error drivers
344,4,P4 - Routine,P00479,UrbanGear Bags 00479,Accessories,Trending,9.52,Low,88.0,High,43.14,Medium,Supplier,22.71,0,0.2234,1.5718,0.0,11.6144,5.42,1.9142,0.0,22.7083,9.5821,0.0,17.6836,0.9918,821165.8539,23649.5766,669592.94,151572.9139,0.0,3972.85,0,0.0,Monitor supplier performance and lead-time stability
345,4,P4 - Routine,P00926,Apex Laptops 00926,Electronics,Volatile,9.51,Low,88.0,High,82.59,Very High,Forecast Accuracy,40.0,0,0.1468,0.8752,0.0,26.2711,4.45,2.0567,0.0,12.5,13.0409,0.0,19.8978,0.989,4020591.1141,113782.7285,2901236.86,1119354.2541,0.0,943.42,0,0.0,Monitor forecast accuracy and review model error drivers
346,4,P4 - Routine,P00310,Arctic Refrigerators 00310,Home Appliances,Volatile,9.51,Low,88.0,High,59.09,Medium,Forecast Accuracy,40.0,0,0.4834,0.9475,0.0,23.3278,4.22,1.1274,0.0,13.3333,12.5214,0.0,19.5033,0.9956,1384126.8027,39447.6139,653106.19,731020.6127,0.0,162.89,0,0.0,Monitor forecast accuracy and review model error drivers
347,4,P4 - Routine,P01729,UrbanGear Cables 01729,Accessories,Volatile,9.51,Low,88.0,High,46.97,Medium,Forecast Accuracy,40.0,0,0.1475,0.3436,0.0,23.0245,4.78,1.4277,0.0,17.2917,11.7205,0.0,18.3915,0.9939,990191.821,28418.5053,499305.34,490886.481,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
348,4,P4 - Routine,P00303,CarePlus Haircare 00303,Personal Care,Seasonal,9.51,Low,88.0,High,36.12,Low,Supplier,28.96,0,0.0326,0.2243,0.0,11.5198,6.8,3.3355,0.0,28.9583,9.727,0.0,17.5312,0.9845,711043.2672,20549.1504,542606.48,168436.7872,0.0,32240.65,0,0.0,Monitor supplier performance and lead-time stability
349,4,P4 - Routine,P01678,Arctic Air Conditioners 01678,Home Appliances,Seasonal,9.5,Low,88.0,High,90.63,Very High,Supplier,23.54,0,0.117,1.0599,0.0,10.9291,5.82,2.1877,0.0,23.5417,10.8923,0.0,17.7554,0.9891,6096570.83,171313.6403,4466207.48,1630363.35,0.0,288.53,0,0.0,Monitor supplier performance and lead-time stability
350,4,P4 - Routine,P00788,ComfortMax Refrigerators 00788,Home Appliances,Volatile,9.5,Low,88.0,High,73.16,High,Forecast Accuracy,40.0,0,0.1358,0.53,0.0,20.5899,4.87,2.8842,0.0,14.375,12.356,0.0,19.2553,0.9876,3017720.0095,85401.4763,2173972.55,843747.4595,0.0,652.52,0,0.0,Monitor forecast accuracy and review model error drivers
351,4,P4 - Routine,P01283,CarePlus Skincare 01283,Personal Care,Seasonal,9.49,Low,88.0,High,54.75,Medium,Supplier,25.63,0,0.0871,0.6109,0.0,10.6525,6.68,4.5739,0.0,25.625,9.7301,0.0,17.4366,0.9775,1793860.1718,51125.0149,1525586.82,268273.3518,0.0,8805.1,0,0.0,Monitor supplier performance and lead-time stability
352,4,P4 - Routine,P00811,TechMate Bags 00811,Accessories,Volatile,9.47,Low,88.0,High,79.17,High,Forecast Accuracy,40.0,0,0.273,0.9642,0.0,24.1348,4.35,2.2927,0.0,12.5,11.8967,0.0,20.1096,0.9894,3721107.684,104563.1259,2734518.78,986588.904,0.0,6827.46,0,0.0,Monitor forecast accuracy and review model error drivers
353,4,P4 - Routine,P01536,NovaTech Audio 01536,Electronics,Volatile,9.47,Low,88.0,High,49.85,Medium,Forecast Accuracy,40.0,0,0.3115,0.9154,0.0,27.4166,4.41,1.8258,0.0,12.5,13.2347,0.0,19.5872,0.9913,1053878.9949,30035.5514,768216.33,285662.6649,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
354,4,P4 - Routine,P00047,HomePro Washing Machines 00047,Home Appliances,Volatile,9.45,Low,88.0,High,82.85,Very High,Supplier,25.63,0,0.0606,0.6203,0.0,18.1732,5.96,0.9986,0.0,25.625,12.0796,0.0,18.4029,0.9955,3233249.2875,90530.9801,1550612.84,1682636.4475,0.0,565.83,0,0.0,Monitor supplier performance and lead-time stability
355,4,P4 - Routine,P01477,TechMate Cables 01477,Accessories,Trending,9.45,Low,88.0,High,14.81,Low,Supplier,28.12,0,0.1258,0.5119,0.0,12.6834,6.4,2.5642,0.0,28.125,9.4073,0.0,17.518,0.9881,166007.992,4797.631,137511.3,28496.692,0.0,0.0,0,0.0,Monitor supplier performance and lead-time stability
356,4,P4 - Routine,P00519,UrbanGear Mobile Accessories 00519,Accessories,Volatile,9.44,Low,88.0,High,93.68,Very High,Forecast Accuracy,20.0,0,0.3064,1.5387,0.0,17.3792,5.68,3.6069,0.0,19.1667,11.4625,0.0,19.1371,0.9831,10128394.9976,281569.3809,7953420.42,2174974.5776,0.0,6018.08,0,0.0,Monitor forecast accuracy and review model error drivers
357,4,P4 - Routine,P01904,Vertex TVs 01904,Electronics,Volatile,9.44,Low,88.0,High,61.56,High,Forecast Accuracy,40.0,0,0.12,0.5781,0.0,22.6435,5.01,3.6265,0.0,12.7083,13.4422,0.0,18.6464,0.9815,2119384.7767,59766.6507,1665934.05,453450.7268,0.0,322.69,0,0.0,Monitor forecast accuracy and review model error drivers
358,4,P4 - Routine,P00565,Arctic Microwaves 00565,Home Appliances,Volatile,9.44,Low,88.0,High,64.18,High,Forecast Accuracy,40.0,0,0.1411,0.8913,0.0,21.7942,4.43,2.1517,0.0,12.5,12.7079,0.0,19.7071,0.9894,2033928.5568,57356.7853,1391545.0,642383.5568,0.0,440.26,0,0.0,Monitor forecast accuracy and review model error drivers
359,4,P4 - Routine,P01655,Vertex TVs 01655,Electronics,Seasonal,9.42,Low,88.0,High,81.37,Very High,Supplier,23.96,0,0.0938,0.8672,0.0,18.2867,5.91,1.9675,0.0,23.9583,11.4956,0.0,17.6684,0.9913,3254981.3035,90813.9784,2599161.0,655820.3035,0.0,781.0,0,0.0,Monitor supplier performance and lead-time stability
360,4,P4 - Routine,P01079,Zenith Smartphones 01079,Electronics,Volatile,9.39,Low,88.0,High,66.65,High,Forecast Accuracy,40.0,0,0.0057,0.6504,0.0,24.1411,4.45,1.3402,0.0,13.3333,13.6759,0.0,19.4641,0.9934,1969071.1516,54937.0851,1075692.17,893378.9816,0.0,213.06,0,0.0,Monitor forecast accuracy and review model error drivers
361,4,P4 - Routine,P01346,HomePro Washing Machines 01346,Home Appliances,Seasonal,9.39,Low,88.0,High,56.29,Medium,Supplier,25.83,0,0.0343,0.3613,0.0,11.2557,6.76,4.1432,0.0,25.8333,10.9359,0.0,17.1433,0.9819,1771800.3688,49610.4103,1489422.05,282378.3188,0.0,0.0,0,0.0,Monitor supplier performance and lead-time stability
362,4,P4 - Routine,P01451,DermaX Grooming 01451,Personal Care,Seasonal,9.39,Low,88.0,High,36.3,Low,Supplier,28.96,0,0.0578,0.116,0.0,11.5792,6.74,3.0751,0.0,28.9583,9.8367,0.0,17.4708,0.9871,659940.357,18676.3121,525527.46,134412.897,0.0,7056.33,0,0.0,Monitor supplier performance and lead-time stability
363,4,P4 - Routine,P01734,Arctic Microwaves 01734,Home Appliances,Volatile,9.38,Low,88.0,High,78.68,High,Forecast Accuracy,40.0,0,0.3472,1.3008,0.0,24.4092,3.87,1.4536,0.0,10.2083,12.6591,0.0,19.2997,0.9937,2977840.7936,82486.19,1709330.56,1268510.2336,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
364,4,P4 - Routine,P01865,CarryPro Cables 01865,Accessories,Volatile,9.38,Low,88.0,High,57.42,Medium,Supplier,25.0,0,0.0652,0.4721,0.0,19.9934,6.57,3.4908,0.0,25.0,11.8134,0.0,18.6763,0.9829,1904770.9632,53333.587,1517784.8,386986.1632,0.0,2667.99,0,0.0,Monitor supplier performance and lead-time stability
365,4,P4 - Routine,P01030,ConnectX Bags 01030,Accessories,Volatile,9.38,Low,88.0,High,44.29,Medium,Forecast Accuracy,40.0,0,0.0438,0.2739,0.0,26.5009,4.63,0.7894,0.0,17.2917,11.9637,0.0,18.6866,0.9962,741723.507,20916.6029,362173.77,379549.737,0.0,16619.64,0,0.0,Monitor forecast accuracy and review model error drivers
366,4,P4 - Routine,P01848,NovaTech Smartphones 01848,Electronics,Volatile,9.37,Low,88.0,High,93.97,Very High,Forecast Accuracy,40.0,0,0.0083,0.1927,0.0,25.1778,5.67,6.0254,0.0,12.5,13.2264,0.0,19.7874,0.9685,13744921.158,377985.3318,12007243.65,1737677.508,0.0,722.27,0,0.0,Monitor forecast accuracy and review model error drivers
367,4,P4 - Routine,P00459,Zenith TVs 00459,Electronics,Volatile,9.37,Low,88.0,High,94.51,Very High,Forecast Accuracy,40.0,0,0.0861,0.2794,0.0,24.4094,4.75,1.8495,0.0,15.0,12.9782,0.0,19.0871,0.9911,7507930.5,206468.0888,4899355.0,2608575.5,0.0,0.0,0,0.0,Monitor forecast accuracy and review model error drivers
368,4,P4 - Routine,P01483,PureLife Oral Care 01483,Personal Care,Seasonal,9.34,Low,88.0,High,25.1,Low,Supplier,29.58,0,0.0279,0.1044,0.0,12.2151,6.56,2.1751,0.0,29.5833,9.807,0.0,18.0777,0.9906,331084.2724,9336.5765,251057.45,80026.8224,0.0,19125.27,0,0.0,Monitor supplier performance and lead-time stability
